Diện tích sử dụng,Mã BĐS,price,Pháp lý,Ngày đăng,Nhà tắm,Phòng ngủ,address,Diện tích đất
70 m2,22703348,4 tỷ 90 triệu,Sổ đỏ,15/10/2025,1,2,"Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",
275 m2,21784677,11 tỷ 500 triệu,Sổ đỏ,15/10/2025,5,4,"Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",60 m2(4x12)
90 m2,22703349,3 tỷ 980 triệu,Sổ đỏ,15/10/2025,2,4,"Phố Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",
520 m2,21747442,28 tỷ 999 triệu,Sổ đỏ,15/10/2025,5,5,"Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",130 m2(6x22)
80 m2,22703356,4 tỷ 50 triệu,Sổ đỏ,15/10/2025,1,2,"Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội",
200 m2,21720927,10 tỷ 700 triệu,Sổ đỏ,15/10/2025,4,4,"Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội",50 m2(4x12)
130 m2,22703376,5 tỷ 850 triệu,Sổ đỏ,15/10/2025,2,3,"Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",
275 m2,21784719,9 tỷ 800 triệu,Sổ đỏ,15/10/2025,5,4,"Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",55 m2(4x12)
130 m2,22703403,5 tỷ 700 triệu,Sổ đỏ,15/10/2025,2,3,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
50 m2,20954464,12 tỷ 500 triệu,Sổ đỏ,15/10/2025,5,4,"Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội",50 m2(4x13)
80 m2,22711739,8 tỷ 800 triệu,Sổ đỏ,15/10/2025,1,2,"Lê Thánh Tông, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",
323 m2,20650199,21 tỷ,Sổ đỏ,15/10/2025,5,4,"Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","85 m2(6,5x14)"
80 m2,22703405,4 tỷ 879 triệu,Sổ đỏ,15/10/2025,1,2,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
79 m2,21222147,11 tỷ,Sổ đỏ,15/10/2025,,,"Nguyễn Hoàng Tôn, Phường Xuân La, Quận Tây Hồ, Hà Nội",79 m2(4x20)
65 m2,22703407,4 tỷ 380 triệu,Sổ đỏ,15/10/2025,1,2,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
200 m2,22711753,9 tỷ 100 triệu,Sổ hồng,15/10/2025,4,4,"Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",40 m2(5x8)
50 m2,21015855,9 tỷ 800 triệu,Sổ đỏ,15/10/2025,,,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",50 m2(4x13)
75 m2,22703411,5 tỷ 600 triệu,Sổ đỏ,15/10/2025,1,2,"Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
68 m2,21286687,15 tỷ,Sổ đỏ,15/10/2025,6,6,"Nguyễn Khả Trạc, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",68 m2(5x14)
90 m2,22703459,4 tỷ 299 triệu,Sổ đỏ,15/10/2025,2,3,"Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",
528 m2,21286692,18 tỷ,Sổ đỏ,15/10/2025,8,8,"Nhật Chiêu, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",88 m2(8x11)
50 m2,22703460,3 tỷ 380 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Siêu, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội",
200 m2,21328897,11 tỷ 999 triệu,Sổ đỏ,15/10/2025,3,4,"Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",50 m2(4x12)
60 m2,22703463,4 tỷ 200 triệu,Sổ đỏ,15/10/2025,1,2,"Trương Hán Siêu, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",
320 m2,21367717,28 tỷ,Sổ đỏ,15/10/2025,4,4,"Phùng Chí Kiên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",82 m2(5x14)
70 m2,22703467,4 tỷ 280 triệu,Sổ đỏ,15/10/2025,1,2,"Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",
150 m2,21370078,19 tỷ,Sổ đỏ,15/10/2025,5,5,"Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",100 m2(5x20)
70 m2,22703759,4 tỷ 180 triệu,Sổ đỏ,15/10/2025,2,2,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",
360 m2,21565244,15 tỷ,Sổ đỏ,15/10/2025,6,6,"Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","60 m2(4,5x14)"
50 m2,22703770,3 tỷ 650 triệu,Sổ đỏ,15/10/2025,1,2,"Nam Trung Yên, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",
180 m2,21578368,9 tỷ,Sổ đỏ,15/10/2025,4,6,"Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội","45 m2(4,5x10)"
80 m2,22705350,6 tỷ 500 triệu,Sổ đỏ,15/10/2025,3,3,"Lê Thánh Tông, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",
200 m2,21637983,25 tỷ,Sổ đỏ,15/10/2025,,,"Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội",200 m2(10x20)
70 m2,22705358,4 tỷ 650 triệu,Sổ đỏ,15/10/2025,2,2,"Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",
100 m2,21690938,42 tỷ,Sổ đỏ,15/10/2025,,,"Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội","100 m2(6,8x14)"
25 m2,22705689,4 tỷ 450 triệu,Sổ đỏ,15/10/2025,3,3,"Lê Duẩn, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","25 m2(3x8,3)"
400 m2,21697936,33 tỷ,Sổ đỏ,15/10/2025,5,5,"Phố Từ Hoa, Phường Quảng An, Quận Tây Hồ, Hà Nội",176 m2(8x22)
80 m2,22705529,4 tỷ 290 triệu,Sổ đỏ,15/10/2025,2,3,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
368 m2,21806969,14 tỷ 600 triệu,Sổ đỏ,15/10/2025,5,4,"Nguyễn Phong Sắc, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",62 m2(4x15)
20 m2,22705691,4 tỷ 750 triệu,Sổ đỏ,15/10/2025,3,3,"Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội","20 m2(3,5x5,7)"
